time,open,high,low,close,PlotCandle (Цена откр.),PlotCandle (Макс.,PlotCandle (Мин.),PlotCandle (Закрыть),Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes
1772758800,70952.5,70990.1,70722,70761.3,70952.5,70990.1,70722,70761.3,70938.08995314945,,,,,,,73604.51485639399,72629.17960342325,71653.8443504525,70944.50962101924,70235.17489158598,69259.83963861523,68284.5043856445,0,0,0,0,,
1772759700,70761.3,70861.4,70339.6,70423,70761.3,70861.4,70339.6,70423,70853.2350849692,,,,,,,73509.09162790382,72538.36685114194,71567.64207438007,70861.66041855325,70155.67876272643,69184.95398596456,68214.22920920268,0,0,0,0,,
1772760600,70423.1,71130.6,70413.8,71120,70423.1,71130.6,70413.8,71120,70875.668892673,,,,,,,73526.70118748849,72557.24298464734,71587.78478180617,70882.72427064896,70177.66375949176,69208.20555665059,68238.74735380943,0,0,0,0,,
1772761500,71120.1,71257.6,71033.8,71217,71120.1,71257.6,71033.8,71217,70917.84649319723,,,,,,,73563.19573225018,72595.05376002303,71626.91178779588,70922.80853526705,70218.70528273821,69250.56331051106,68282.42133828391,0,0,0,0,,
1772762400,71217,71349.9,71121.8,71288.7,71217,71349.9,71121.8,71288.7,70973.34223643033,,,71121.8,,,,73611.95112751081,72645.33737788936,71678.72362826791,70975.7318103614,70272.73999245488,69306.12624283343,68339.51249321198,0,0,0,0,,
1772763300,71288.6,71387.5,70976.8,71295.7,71288.6,71387.5,70976.8,71295.7,71029.57874398357,,,,,,,73663.62741698566,72697.71892783606,71731.81043868646,71029.33153748675,70326.85263628705,69360.94414713744,68395.03565798784,0,0,0,0,,
1772764200,71295.7,71317,71090.3,71303.5,71295.7,71317,71090.3,71303.5,71083.7367618288,,,,,,,73711.95502247986,72747.25494730505,71782.55487213023,71080.95481745765,70379.35476278506,69414.65468761025,68449.95461243544,0,0,0,0,,
1772765100,71303.5,71330.4,71141.4,71204.1,71303.5,71330.4,71141.4,71204.1,71117.96055237214,,,,,,,73738.84298334953,72776.17602148585,71813.50905962216,71113.3876328122,70413.26620600224,69450.59924413855,68487.93228227487,0,0,0,0,,
1772766000,71204,71253,70981,71029.7,71204,71253,70981,71029.7,71120.22090713821,,,,,71253,,73734.19012986051,72773.85371656781,71813.51730327512,71115.09082088043,70416.66433848575,69456.32792519305,68495.99151190036,0,0,0,0,,
1772766900,71029.7,71223,70955,71137.1,71029.7,71223,70955,71137.1,71132.06269478977,,,,71223,,,73738.38824848882,72780.67822186832,71822.96819524781,71126.45181225108,70429.93542925434,69472.22540263383,68514.51537601334,0,0,0,0,,
1772767800,71137.1,71186.9,71021.9,71050,71137.1,71186.9,71021.9,71050,71126.42199503549,,,,,,,73723.52626440708,72769.35548641253,71815.18470841799,71121.24232442195,70427.29994042592,69473.12916243137,68518.95838443683,0,0,0,0,,
1772768700,71050,71111.2,70983.5,71045.4,71050,71111.2,70983.5,71045.4,71116.75600767258,,,,,,,73702.17345232017,72752.61261389263,71803.0517754651,71112.46207479053,70421.87237411596,69472.31153568842,68522.75069726088,0,0,0,0,,
1772769600,71045.4,71081.5,70862.2,70872,71045.4,71081.5,70862.2,70872,71080.1514303272,,,,71081.5,,,73653.91858940395,72709.33030958826,71764.74202977256,71077.76873536115,70390.79544094975,69446.20716113405,68501.61888131835,0,0,0,0,,
